Date,Temperature,Uncertainty,State,Country
4/1/1989,28.44,0.87,Andaman And Nicobar,India
5/1/1989,28.34,0.391,Andaman And Nicobar,India
6/1/1989,27.7,0.507,Andaman And Nicobar,India
7/1/1989,27.77,0.54,Andaman And Nicobar,India
8/1/1989,27.44,0.813,Andaman And Nicobar,India
9/1/1989,27.23,0.446,Andaman And Nicobar,India
10/1/1989,26.9,0.769,Andaman And Nicobar,India
11/1/1989,27.36,0.966,Andaman And Nicobar,India
12/1/1989,26.7,0.313,Andaman And Nicobar,India
1/1/1990,27.09,0.902,Andaman And Nicobar,India
2/1/1990,27.81,0.226,Andaman And Nicobar,India
3/1/1990,28.41,0.497,Andaman And Nicobar,India
4/1/1990,29.01,0.212,Andaman And Nicobar,India
5/1/1990,28.52,0.56,Andaman And Nicobar,India
6/1/1990,28.22,0.541,Andaman And Nicobar,India
7/1/1990,27.93,0.577,Andaman And Nicobar,India
8/1/1990,28.17,0.372,Andaman And Nicobar,India
9/1/1990,27.49,0.678,Andaman And Nicobar,India
10/1/1990,27.42,0.448,Andaman And Nicobar,India
11/1/1990,27.5,0.416,Andaman And Nicobar,India
12/1/1990,27.37,0.502,Andaman And Nicobar,India
1/1/1991,27.3,0.579,Andaman And Nicobar,India
2/1/1991,27.39,0.259,Andaman And Nicobar,India
3/1/1991,28.49,0.356,Andaman And Nicobar,India
4/1/1991,29.05,0.491,Andaman And Nicobar,India
5/1/1991,29.24,0.432,Andaman And Nicobar,India
6/1/1991,28.44,0.845,Andaman And Nicobar,India
7/1/1991,28.05,0.72,Andaman And Nicobar,India
8/1/1991,27.76,0.319,Andaman And Nicobar,India
9/1/1991,27.62,0.407,Andaman And Nicobar,India
10/1/1991,26.94,0.445,Andaman And Nicobar,India
11/1/1991,27.23,0.294,Andaman And Nicobar,India
12/1/1991,26.88,0.271,Andaman And Nicobar,India
1/1/1992,26.28,0.428,Andaman And Nicobar,India
2/1/1992,26.15,0.638,Andaman And Nicobar,India
3/1/1992,27.44,0.583,Andaman And Nicobar,India
4/1/1992,28.96,0.52,Andaman And Nicobar,India
5/1/1992,28.93,0.229,Andaman And Nicobar,India
6/1/1992,28.37,0.275,Andaman And Nicobar,India
7/1/1992,27.84,0.199,Andaman And Nicobar,India
8/1/1992,27.9,0.438,Andaman And Nicobar,India
9/1/1992,27.28,0.445,Andaman And Nicobar,India
10/1/1992,26.99,0.146,Andaman And Nicobar,India
11/1/1992,27.25,0.328,Andaman And Nicobar,India
12/1/1992,26.68,0.378,Andaman And Nicobar,India
1/1/1993,26.32,0.332,Andaman And Nicobar,India
2/1/1993,26.46,0.278,Andaman And Nicobar,India
3/1/1993,27.94,0.215,Andaman And Nicobar,India
4/1/1993,28.87,0.597,Andaman And Nicobar,India
5/1/1993,29.19,0.377,Andaman And Nicobar,India
6/1/1993,28.68,0.504,Andaman And Nicobar,India
7/1/1993,28.08,0.211,Andaman And Nicobar,India
8/1/1993,27.95,0.495,Andaman And Nicobar,India
9/1/1993,27.33,0.365,Andaman And Nicobar,India
10/1/1993,27.33,0.367,Andaman And Nicobar,India
11/1/1993,27.9,0.829,Andaman And Nicobar,India
12/1/1993,27.34,0.775,Andaman And Nicobar,India
1/1/1994,27.22,0.614,Andaman And Nicobar,India
2/1/1994,27.46,0.602,Andaman And Nicobar,India
3/1/1994,27.98,0.457,Andaman And Nicobar,India
4/1/1994,28.56,0.272,Andaman And Nicobar,India
5/1/1994,28.6,0.512,Andaman And Nicobar,India
6/1/1994,27.99,0.301,Andaman And Nicobar,India
7/1/1994,27.57,0.74,Andaman And Nicobar,India
8/1/1994,27.4,0.185,Andaman And Nicobar,India
9/1/1994,27.32,0.307,Andaman And Nicobar,India
10/1/1994,27.1,0.324,Andaman And Nicobar,India
11/1/1994,27.52,0.216,Andaman And Nicobar,India
12/1/1994,26.99,0.411,Andaman And Nicobar,India
1/1/1995,26.94,0.36,Andaman And Nicobar,India
2/1/1995,27.1,0.271,Andaman And Nicobar,India
3/1/1995,28.44,0.261,Andaman And Nicobar,India
4/1/1995,29.49,0.362,Andaman And Nicobar,India
5/1/1995,28.84,1.293,Andaman And Nicobar,India
6/1/1995,28.34,0.517,Andaman And Nicobar,India
7/1/1995,27.92,0.256,Andaman And Nicobar,India
8/1/1995,27.78,0.188,Andaman And Nicobar,India
9/1/1995,27.44,0.535,Andaman And Nicobar,India
10/1/1995,27.46,0.357,Andaman And Nicobar,India
11/1/1995,27.5,0.808,Andaman And Nicobar,India
12/1/1995,26.72,0.247,Andaman And Nicobar,India
1/1/1996,26.6,0.408,Andaman And Nicobar,India
2/1/1996,27.09,0.501,Andaman And Nicobar,India
3/1/1996,28.36,0.494,Andaman And Nicobar,India
4/1/1996,28.84,0.641,Andaman And Nicobar,India
5/1/1996,28.73,0.32,Andaman And Nicobar,India
6/1/1996,28.15,0.207,Andaman And Nicobar,India
7/1/1996,28.13,0.245,Andaman And Nicobar,India
8/1/1996,27.96,0.281,Andaman And Nicobar,India
9/1/1996,27.41,0.522,Andaman And Nicobar,India
10/1/1996,27.24,0.329,Andaman And Nicobar,India
11/1/1996,27.56,0.223,Andaman And Nicobar,India
